GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore-backend,backend,BookStoreServer.CalculateHandler,4,57,1,1,1,16,1,2,0,2
bookstore-backend,backend,BookStoreServer,29,170,13,13,12,42,13,6,1,5
